intent,tweet_id,text
delivery_issue,628,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away
delivery_issue,632,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM"
delivery_issue,634,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡
delivery_issue,664,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge"
delivery_issue,672,"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!"
delivery_issue,686,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!
delivery_issue,695,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.
delivery_issue,1718,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away."
delivery_issue,2556,"@AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show."
delivery_issue,2555,@AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays
delivery_issue,2568,"Hey @115821, why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about?"
delivery_issue,2591,@AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back
delivery_issue,3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830"
delivery_issue,445421,@AmazonHelp No this is my point why would Amazon automatically select a pay for delivery option after I purposely spent more on shopping to qualify for FREE delivery. I am seriously annoyed with Amazon for being this misleading
delivery_issue,3726,@115830 Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75?
delivery_issue,3759,@115830 you pay for prime expecting next day delivery. Then receive 2 emails half hr apart 'failed delivery' but your sitting at home 😡
delivery_issue,4957,"I swear Amazon are trying to annoy me, I've just ordered another package and had a shipped to wrong carrier facility message again and my order may be delayed. 1st echo dot and then 3 packages lost and now another echo dot possibly delayed."
delivery_issue,4956,@AmazonHelp I have no option but to see if my delivery arrives on the scheduled date. But I will contact customer services if it doesn't arrive on time.
delivery_issue,5125,I was just assaulted by an Amazon delivery person.
delivery_issue,5124,Amazon delivery guy refused to give the police his ID and suddenly started sounding like an attorney. Good grief
