conversation_id,customer_tweet_id,support_tweet_id,customer_message,support_response,customer_created_at,support_created_at,customer_length,support_length
1270963,1270965,1270966,"@AmazonHelp El problema está en que me han timado, la máscara que ha llegado es como esta que venden también en Amazon, más barata y sin engaños https://t.co/vAvYyksJh4","@417575 Entiendo, te recomiendo contactar al vendedor para verificar que opciones tiene disponibles para solucionar tu caso. ^AZ",2017-10-26 16:30:56+00:00,2017-10-26 16:35:32+00:00,168,128
383325,383324,383350,"@AmazonHelp Unfortunately your customer representative didn't solve my request.
#NotAGreatIndianSale 😑😐
cc: @115850 @115821",@192047 https://t.co/wYQI1Vgn8S so that we can get in touch with you. (2/2) ^VM,2017-10-09 12:05:34+00:00,2017-10-09 12:12:31+00:00,123,79
1546662,1546666,1546671,@AmazonHelp Within the hour that was at 8.30 - 9.30 being generous over a few minutes !,@478937 Sorry for this experience. If you can complete the form: https://t.co/tkLCr7Vo9T someone from our team will be in touch. ^PK,2017-11-04 09:59:36+00:00,2017-11-04 10:38:30+00:00,87,132
74740,74697,74698,@AmazonHelp Pour que je puisse me faire rembourser sans problème sur l'article que je dois vous renvoyer que dois-je mettre en raison de renvoi ?,"@132727 Vous devez mettre la raison exacte du retour.
^MD",2017-12-02 17:04:46+00:00,2017-12-02 17:12:00+00:00,145,57
1089814,1089813,1089815,"@AmazonHelp Ok now that just sounds dumb. Not just that I don't get the product I want, but you get less money than you would.",@377114 I get your concern. I'll be sure to forward your feedback internally. ^PS,2017-10-15 03:40:50+00:00,2017-10-15 03:56:29+00:00,126,81
2236238,2236234,2236233,@AmazonHelp It just says “Delivery date pending. We'll email you as soon as we have a delivery date.” When I ordered it said 4-5 days. It has now been 8,@652172 Thank you for the information! Please contact us via phone or chat at the following link so we can look into this further with you!  https://t.co/JzP7hlA23B ^MW,2017-11-10 18:18:19+00:00,2017-11-10 18:24:30+00:00,152,168
2852178,2852174,2852173,@AmazonHelp Tracking claims left in secure location.,"@252282 I understand! We'd like to look into this more with you. When you have the time, please provide us with some additional information here: https://t.co/ElaoVVLxJX and a member of our team can help. ^TK",2017-11-27 20:00:09+00:00,2017-11-27 20:03:25+00:00,52,208
234785,275555,275556,"@AmazonHelp Le site Web n'est pas utile. Alors, au lieu de vous aider à envoyer un email et j'espère que quelque chose se passe?","@171906 Ne vous inquiétez pas, nos collaborateurs au SAV veilleront à vous aider et vous proposer une solution ! ^AR",2017-10-06 07:13:35+00:00,2017-10-06 07:19:00+00:00,128,116
2935912,2935910,2935908,@AmazonHelp It says it won’t ship until the earliest Dec 14 and may not arrive until after Christmas! Point is they CAN ship sooner but only to those who pay $200 more!,"@810908 Sorry to hear that you've had a negative experience. We don't have access to your account over Twitter, if you reach out via: https://t.co/hApLpMlfHN we can see if there are any options available to you. ^TI",2017-11-29 10:42:34+00:00,2017-11-29 10:54:27+00:00,168,215
2467932,2467930,2467929,"@AmazonHelp Shows as ""In Transit: Delivery attempted"", but also says it tried to deliver to a business address, but I don't live at a business address?",@706115 Who is the carrier on the order? ^JF,2017-11-25 22:46:18+00:00,2017-11-25 22:51:52+00:00,151,44
2941999,2941998,2942000,@AmazonHelp Did you even read my tweet? 🤦‍♀️,@170806 I think the previous representative may have read that incorrectly! Whoops! ^GS,2017-11-29 14:13:55+00:00,2017-11-29 14:18:28+00:00,44,87
962223,962222,962224,@AmazonHelp Oct 19 and says it's in the carrier facility.  @3375 lost my package and won't call me back. I've wasted 2 hours on hold.,"@348328 Have you had a chance to reach out to us directly? If so, what information were we able to provide? ^AC",2017-10-21 22:07:08+00:00,2017-10-21 22:16:32+00:00,133,111
1275074,1275078,1275079,"@AmazonHelp Thanks a lot to prompt action.I WS nt tense abt my items,instaed the comment that ws raised by courier.Anyway all is done
Happy Divali team.",@393288 We will forward the feedback to the concerned team and get it reviewed. Thank you and same to you. ^HR,2017-10-16 09:42:13+00:00,2017-10-16 10:05:00+00:00,152,110
1095322,1095321,1095323,@AmazonHelp Nothin https://t.co/SCocv50yHl,"@378474 Have you used ""check out with https://t.co/nUUp5MLhYl"" on another retail website? ^MJ",2017-10-15 14:46:23+00:00,2017-10-15 14:55:26+00:00,42,93
1899816,1899815,1899817,"@AmazonHelp Sorry, forgot to mention. I do not use seller central. I am a local seller. selling books only in Mumbai.","@158381 Kindly contact us using the link provided earlier, so that we will be able to assist. ^JS",2017-10-18 13:17:13+00:00,2017-10-18 16:16:40+00:00,117,97
1288877,1288869,1288870,@AmazonHelp Je devais être livré jeudi dernier. Commande Prime. Cadeau pour anniv. @120533  prisonnier de @120535 Remboursez moi.,"@421447 Vu que je n'ai pas accès à votre compte via Twitter, je vous invite à remplir ce formulaire svp : https://t.co/HtUowg2UGX 1/2",2017-10-17 17:22:40+00:00,2017-10-17 17:38:32+00:00,129,133
1120348,1120347,1120349,@AmazonHelp No se recoge el paquete q he tenido q llevar a correos. No se hace abono. Llevo 3 semanas con esto. Inadmisible,"@384324 Pablo, entra en contacto con Soporte al Cliente para que puedan verificar tu caso: https://t.co/OjvUxwnzPe. ^DA",2017-10-15 13:22:36+00:00,2017-10-15 13:27:25+00:00,123,119
