example_id,customer_message,actual_intent,top_similarity,top_match
1,@AmazonHelp how can you refund back to an account that doesn't exist?!,REFUND,0.8207972049713135,"@AmazonHelp I'm going in circles! this just brings me back to the 'return' option, and only lets me get a refund, not a replacement!"
2,"@AmazonHelp Current status is On the Way, last location was last night @ 9:16pm at Royal Mail’s National Distribution Centre  : - https://t.co/YY2XiWaC6V",DELIVERY_DELAY,0.7887537479400635,"@AmazonHelp Have shared the details, waiting for some miraculous update now!"
3,@AmazonHelp The package was left at the house next door that is unoccupied. The driver gave it to a contractor working at the house. Had the seller not returned today who knows when i would have received it. That is unacceptable in my opinion and as a Prime member even more so.,DELIVERY_PROBLEM,0.8426275253295898,"@AmazonHelp Thank you for getting back. It's definitely not with a neighbour and it's definitely not been left outside anywhere, there's no note to say they tried to deliver or anything like that."
4,"@AmazonHelp Ben oui...plusieurs fois 
Sans résultats",PACKAGE_NOT_RECEIVED,0.9267120361328125,@AmazonHelp oui plusieurs fois.
5,@AmazonHelp I've called customer service several times and tried to change the delivery instructions but they won't deliver if I don't answer the door,DELIVERY_INSTRUCTIONS,0.8235705494880676,@AmazonHelp I have already contact to customer service team but no one help me
6,@AmazonHelp Yes I have? Nobody left a card or anything. There wasn’t anyone home and you’ve put the status as “delivered to resident” ?? Where is my order?,PACKAGE_NOT_RECEIVED,0.8522995114326477,@AmazonHelp So to continue this saga. It now shows that my parcel has been delivered and handed to a resident. I can assure you it most certainly hasn't and I still do not have my order!
7,@AmazonHelp Contacted... They have been giving false assurances and unhelpful,CUSTOMER_SERVICE,0.8239627480506897,@AmazonHelp Don’t think your customer service is capable to be honest.
8,@AmazonHelp Ye the 24 of Dec with a 3-4 days shipping ... No problems 😁,DELIVERY_TRACKING,0.8159465789794922,@AmazonHelp It was expected this week between the 23rd-25th. It was delivered by Amazon Shipping. Thanks
9,@AmazonHelp USPS,DELIVERY_TRACKING,0.8417662978172302,@AmazonHelp 7 are USPS and two are UPS.
10,"@AmazonHelp Spoke to customer services who told me it would be here by 9pm. It's now passed 9pm and still no sign. 2 days overdue now. Wtf are you playing at Amazon, yet again? Where can I put an official complaint in?",DELIVERY_DELAY,0.8604756593704224,"@AmazonHelp Still waiting for you to reach out. contacted ur customer care again. As always I have been told they would escalate the issue within 24
hrs"
11,"@AmazonHelp It's out for delivery as of 12:03, the carrier is you guys. I work from home and need lunch but I'd rather not miss the package. 

I'll risk it.",DELIVERY_TRACKING,0.8323495388031006,@AmazonHelp It is today and the package has been out for delivery since 8:21am this morning. Hoping it decides to arrive soon
12,@AmazonHelp Thank you.,RESOLUTION_CONFIRMATION,0.9414712190628052,@AmazonHelp Thanks. Much appreciated 👍
13,@AmazonHelp When it’s suppose to get here this week and I need it this week the money is already gone and idk if my order is coming or not,DELIVERY_DELAY,0.8368462324142456,@AmazonHelp Pretty sure it’s not gonna arrive within the next 7 minutes :(((((
14,"@AmazonHelp Alors je dois pas être doué, mais je clique où pour faire une réclamation sur l'article en question ? https://t.co/nYF5QD3Fxe",CUSTOMER_SERVICE,0.8609073758125305,"@AmazonHelp Oui je viens de voir merci, le problème c'est que je n'ai pas l'article et dans votre lien vous demandez un retour sur l'article"
15,"@AmazonHelp merci beaucoup, appel passé, problème résolu, merci de votre patience !",RESOLUTION_CONFIRMATION,0.8901578783988953,@AmazonHelp J’ose espérer que la situation sera réglée dans la journée car ma patience a des limites aussi.
16,@AmazonHelp Bastards..   Why you cancel order after taking money from customers!!  Using customers money without interest..  Shameful,ORDER_CANCELLATION,0.8201632499694824,@AmazonHelp You just keep taking money out my account when I cancelled my account with you
17,@AmazonHelp Issue is resolved and item is being redelivered,PACKAGE_NOT_RECEIVED,0.8495657444000244,"@AmazonHelp Yes, it has been resolved. Thanks, again. :)"
18,@AmazonHelp My account is on the NL site.,ACCOUNT,0.7594695091247559,@AmazonHelp This link takes me to my account .my number is already there. Please help
19,"@AmazonHelp es vendido por un externo de amazon, pero es enviado por ustedes.
de igual forma el producto decia que estaba en stock, y se supone que ya lo hayan enviado.. Porfavor ayudarme, he tenido el mismo problema con ustedes siempre, nunca envian los productos a la fecha prometida.",ORDER_DISPATCH,0.8780306577682495,@AmazonHelp Vendido y enviado por Amazon
20,"@AmazonHelp No, ordered yesterday (10/26), expected shipping date is November 7th, it’s in stock, so that kinda defeats the purpose of prime shipping",DELIVERY_DELAY,0.8670566082000732,@AmazonHelp Yes actually. I ordered something using amazon prime on Wednesday the 25th and it says it won’t be delivered until Monday the 30th
21,@AmazonHelp Did that. Got same response and I'm asked to follow the same steps which I have been doing since 21st September. That's ridiculous!,CUSTOMER_SERVICE,0.8251472115516663,@AmazonHelp Already did that. I'm not satisfied with their response too.
22,@AmazonHelp Surely will do. If you just send over a #firestick 😂,DEVICE,0.8090736269950867,@AmazonHelp Ok I understand I will send it in message.
23,@AmazonHelp It was from .co.uk thank you,RETURN,0.8323009610176086,@AmazonHelp I'm not sure is it UK. Here's the link: https://t.co/qwmzl3TbRN
24,@AmazonHelp OUI. Via lappli Amazon mobile... Ca va durer longtemps le jeu de se renvoyer la balle la ?,CUSTOMER_SERVICE,0.8561527729034424,"@AmazonHelp Ok, merci, bonne journée."
25,@AmazonHelp 35 minutes and still waiting. That's not good customer service is it?  Being lied to and then lied to again....,CUSTOMER_SERVICE,0.8447552919387817,"@AmazonHelp Still waiting for you to reach out. contacted ur customer care again. As always I have been told they would escalate the issue within 24
hrs"
26,@AmazonHelp No delays. It just didn't ship until today. I ordered it on 10/4 and it was supposed to be here today.,ORDER_DISPATCH,0.8893454074859619,@AmazonHelp I never received an email telling me why it was delayed. I had to go on to the website to see that it wasn't arriving today.
27,@AmazonHelp iOS. It worked a couple of weeks ago.,DEVICE,0.8532141447067261,@AmazonHelp Not sure what happened but it's working now :)
28,@AmazonHelp Vizio smart TV - there is an app but quality and crash rate are terrible. Functions also do not work with other remotes as most apps do,DEVICE,0.7033711075782776,@AmazonHelp I don’t have a smart tv. Could you please let me know why there’s no chrome cast compatible prime video app?
29,"@AmazonHelp Sorry, we live 200 miles apart and she is a 74 year old lady who is very upset by this.  Please can I speak to someone on the phone?",CUSTOMER_SERVICE,0.804000735282898,@AmazonHelp @439817 The lady I spoke to on the phone is amazing thank you to her
30,"@AmazonHelp Si quito mis suscripción ahora, una vez hecho el pedido y a la espera de recibirlo, se aplica algún plus a mi pedido?gracias",OTHER,0.8648278117179871,"@AmazonHelp Buenas tardes, se supone que hoy tendría que llegar el pedido, pues estaba en reparto. No ha venido nadie de ASM"
31,@AmazonHelp Y can't you access my details while you can access my messages here?,ACCOUNT,0.7552558183670044,"@AmazonHelp If you are not able to even check the details, why you are here at twitter? Only for Tweeting?"
32,@AmazonHelp Your response only says we will reach out to you.,CUSTOMER_SERVICE,0.8648754358291626,@AmazonHelp I didn't get a response back yet
33,"@AmazonHelp O status é em processamento. Eu achei estranho pois não pediu o meu código de verificação do meu cartão de crédito, apenas digitei o número do meu cartão e concluí o pedido. Por isso estou confuso se vai ser ou não debitado.",PAYMENT,0.8289615511894226,"@AmazonHelp Eu tentei pelo cartão de débito, foi a primeira vez que tentei comprar com ele e sempre diz que deu erro no processamento e para revisar a forma de pagamento."
34,@AmazonHelp @115821 @AmazonHelp @115850 customer care executives are behaving like Dons .. insisting me for refund ...pls reply,CUSTOMER_SERVICE,0.8507423400878906,@AmazonHelp Come on..looks like most customer centric company on earth is just playing around with customer.@115850  @115851
35,@AmazonHelp You guys keep messing up my orders and driving me crazy.,OTHER,0.8545438647270203,@AmazonHelp Are you serious? Read my previous tweets to you guys:D including the one where your support directs me to my own orders page.
36,@AmazonHelp Yes. Thank you. It will arrive tomorrow. Unfortunately too late for a trip I'm taking. Caught up in the Black Friday madness over the weekend I guess 🤔,DELIVERY_DELAY,0.8417290449142456,"@AmazonHelp Oh.. Thank you so much for your assistance... You advised me that the delivery was due to be delivered yesterday &amp; then today, so of course I'll be happy to let you know if it doesn't arrive almost a week late #PATHETICSERVICE"
37,@AmazonHelp It says the 2nd of December....2 days an still not dispatched yet it's been 5 days it didn't take this long when I ordered it off the American site,ORDER_DISPATCH,0.8618468642234802,"@AmazonHelp it currently says ""dispatched"" Expected by Novermber 7th, the order was placed on 30th October."
38,@AmazonHelp Spoke to yr CS team who helped as much as poss although cld not change my Xbox OneX delivery address!  Still feel angry at being lied to tho,DELIVERY_INSTRUCTIONS,0.7509938478469849,"@AmazonHelp You apparently tried to deliver !
You did not! Rather you didn’t lie considering we had one delivered in the morning"
39,@AmazonHelp After dealing w/this an hour I was hung up on by Mike. He refused to transfer me to someone in the US &amp; told me no one else will talk to me.,CUSTOMER_SERVICE,0.7863562107086182,"@AmazonHelp I was just speaking with an entirely unhelpful agent who refused to assist me, refused to connect me with a supervisor, and when I asked for her name she hung up on me."
40,"@AmazonHelp ok, so I purchased a motinor which is defective and you guys considering it to be replaced rather than retrun which in turn I agree to order from amazon again buy not the same brand as box piece is defective, I want different brand option. Can you help me with this issue.",OTHER,0.7366251945495605,"@AmazonHelp I don't  understand the response which you have provided,  I want a replacement of the faulty product, which you guys have provided."
41,@AmazonHelp I had dropped email pl check it,CUSTOMER_SERVICE,0.8522856831550598,@AmazonHelp Plz check Ur emails have responded. In case you r unable to search it's Ur mistake again. Have posted a screen shot of my response as well
42,@AmazonHelp Pues dice vendido por InLife MX,SELLER,0.8833299875259399,@AmazonHelp Vendido y enviado por Amazon
43,@AmazonHelp No according to my app it's still out for today. No explanation of a delay either. Why is it now 2 days late??,DELIVERY_DELAY,0.8720651268959045,@AmazonHelp I never received an email telling me why it was delayed. I had to go on to the website to see that it wasn't arriving today.
